file,model,page_slot,use_summary,replace_with_real_asset,priority,prompt_summary
hero/home-hero-kitchen-blossoms.png,gpt-image-1,index hero,Kitchen lifestyle hero with faux white blossoms and magnolia in ceramic vase,Yes,1,"Refined kitchen interior, premium faux botanicals, wide composition with left-side copy space"
hero/subpage-hero-refined-botanicals.png,gpt-image-1,subpage hero,Generic refined botanicals hero for subpages,Yes,2,"High-end faux floral lifestyle image for narrow page banners"
story/home-styling-living-room-hydrangea.png,gpt-image-1,index story home,Home styling story image with hydrangea arrangement,Yes,2,"Living room with sculptural vase and soft green hydrangeas"
story/event-styling-wedding-reception.png,gpt-image-1,index story event and OEM support,Wedding and event styling scene,Yes,2,"Elegant reception styling with cream and blush faux florals"
category/hydrangea-category.png,gpt-image-1,collection category,Hydrangea category icon image,Yes,2,"Single white hydrangea stem on soft neutral background"
category/orchid-category.png,gpt-image-1,collection category,Orchid category icon image,Yes,2,"Potted white orchid arrangement on pale neutral background"
category/magnolia-branch-category.png,gpt-image-1,collection category,Blossom branches category icon image,Yes,2,"Single cream magnolia faux branch on warm-gray background"
category/greenery-category.png,gpt-image-1,collection category,Greenery category icon image,Yes,2,"Mixed faux greenery arrangement on pale stone background"
category/hanging-philodendron-category.png,gpt-image-1,collection category,Hanging plants category icon image,Yes,2,"Trailing faux philodendron against clean warm-white background"
category/wedding-florals-category.png,gpt-image-1,collection category,Wedding florals category icon image,Yes,2,"Romantic blush and cream wedding floral arrangement on pale neutral background"
product/hydrangea-stem-white-19in.png,gpt-image-1,product and card,Primary product card image for hydrangea stem,Yes,1,"Vertical product image of single real touch white hydrangea stem"
product/magnolia-branch-cream-35in.png,gpt-image-1,product grid,Primary product card image for magnolia branch,Yes,2,"Vertical product image of cream magnolia faux branch"
product/lilac-branch-cream-25in.png,gpt-image-1,product grid,Primary product card image for lilac branch,Yes,2,"Vertical product image of soft cream faux lilac branch"
product/orchid-arrangement-white-28in.png,gpt-image-1,product grid,Primary product card image for orchid arrangement,Yes,2,"Vertical product image of potted white orchid arrangement"
product/uv-greenery-bush-32in.png,gpt-image-1,product grid,Primary product card image for greenery bush and reused eucalyptus placeholder,Yes,3,"Vertical product image of lush faux greenery bush"
product/hanging-philodendron-32in.png,gpt-image-1,product grid,Primary product card image for hanging philodendron,Yes,2,"Vertical product image of hanging faux philodendron plant"
product/wedding-rose-bundle-16in.png,gpt-image-1,product grid,Primary product card image for wedding rose bundle,Yes,2,"Vertical product image of blush wedding rose floral bundle"
